Name,Email
Alice Williams,alice.williams@yahoo.com
Alice Garcia,alice.garcia@example.com
George Williams,george.williams@gmail.com
Charlie Brown,charlie.brown@gmail.com
Bob Rodriguez,bob.rodriguez@yahoo.com
Fiona Brown,fiona.brown@yahoo.com
Charlie Johnson,charlie.johnson@yahoo.com
Emma Brown,emma.brown@yahoo.com
Alice Martinez,alice.martinez@yahoo.com
Fiona Miller,fiona.miller@gmail.com
George Miller,george.miller@yahoo.com
Charlie Jones,charlie.jones@example.com
Ian Martinez,ian.martinez@gmail.com
George Jones,george.jones@example.com
Ian Jones,ian.jones@gmail.com
Bob Williams,bob.williams@outlook.com
Ian Johnson,ian.johnson@outlook.com
Fiona Davis,fiona.davis@example.com
David Smith,david.smith@example.com
Alice Garcia,alice.garcia@example.com
